Variant,copper_per_FW,copper_per_DW
10 mkM,0.8890585742621869,14.61313340380759
10 mkM,0.9565434319866278,15.680432580782176
10 mkM,0.8302313924679728,13.799738318638315
Gln 1 mM,0.6309679538763994,10.580004953285396
Gln 1 mM,0.7612646122749744,12.663176187371484
Gln 1 mM,0.6652568587824829,11.355957492971246
Gln 5 mM,0.34336034750042227,5.663789654910502
Gln 5 mM,0.2667554352454464,4.624494874461448
Gln 5 mM,0.28228561728948,4.855617791019369
10 mkM,0.9641884196008164,17.05542182227222
10 mkM,0.9020091736356901,15.026905220978708
10 mkM,0.9018888333920948,14.920136256116136
His 0.5 mM,1.0634472837778568,18.475558801117604
His 0.5 mM,0.750389000098353,13.3938285788047
His 0.5 mM,0.8699341348843356,15.286609233444317
His 1 mM,0.7180775343070194,12.361250325465305
His 1 mM,0.7483282753996758,12.711223197013869
His 1 mM,0.7339729727832172,12.298943058345028
10 mkM,0.9418976540465357,17.038422762661607
10 mkM,0.8626743882646088,15.605316427560272
10 mkM,0.8774525188115353,15.872644873298071
His 1 mM,0.8798980790678536,15.916883745069011
His 1 mM,0.6211584871120103,11.236423469748686
His 1 mM,0.7993571264416544,14.459941162552628
Gln 5 mM,0.23567984227852057,4.263321786743133
Gln 5 mM,0.17491719279995127,3.1641580872185844
Gln 5 mM,0.23345094029243812,4.2230021467352685
10 mkM,1.0358866312851016,15.578724313424235
10 mkM,0.9538118500908995,14.374378131710808
10 mkM,1.1852224433234066,18.347925565059757
Gln 1 mM,0.5874708503674102,8.710273251734622
Gln 1 mM,0.5811315828455897,9.007926439288296
Gln 1 mM,0.6137656057590595,9.278468941382325
Gln 5 mM,0.32860564354773836,5.120280529449945
Gln 5 mM,0.36441770607500756,5.691071617883748
Gln 5 mM,0.3354281343854837,5.204574282300312
10 mkM,1.2449410539962529,20.247438644459923
10 mkM,1.1534772029589182,19.11142836117448
10 mkM,1.1420139437810648,19.68251968503937
10 mkM,0.8954179061917418,15.908475473390952
10 mkM,0.9138399244469769,16.235770944653304
10 mkM,0.9316103632207264,16.551490104867472
His 1 mM,0.8760834712053902,15.5649695164011
His 1 mM,0.8612480509061265,15.30139547087856
His 1 mM,0.8504833924601265,15.11014476695199
Gln 5 mM,0.5593938163849956,9.938491006702787
Gln 5 mM,0.5464896908823876,9.70922938188574
Gln 5 mM,0.6540676594465414,11.620517354290426
