Variant;pH_after_sorbtion.root
10 mkM;4,64
10 mkM;4,58
10 mkM;4,65
10 mkM;4,68
10 mkM;4,70
10 mkM;4,75
10 mkM;4,51
10 mkM;4,51
10 mkM;5,55
10 mkM;4,44
10 mkM;4,46
10 mkM;4,29
10 mkM;4,61
10 mkM;4,56
10 mkM;4,56
10 mkM;4,64
10 mkM;4,58
10 mkM;4,65
10 mkM;5,32
10 mkM;4,63
10 mkM;4,65
10 mkM;4,33
10 mkM;5,23
10 mkM;4,35
10 mkM;4,56
10 mkM;4,58
10 mkM;4,57
10 mkM;4,30
10 mkM;5,27
10 mkM;4,96
100 mkM;4,06
100 mkM;4,06
100 mkM;4,03
100 mkM;4,06
100 mkM;4,06
100 mkM;4,03
100 mkM His 0,5 mM;4,87
100 mkM His 0,5 mM;4,93
100 mkM His 0,5 mM;4,88
100 mkM His 1 mM;4,85
100 mkM His 1 mM;4,80
100 mkM His 1 mM;4,92
50 mkM;4,13
50 mkM;4,14
50 mkM;4,14
50 mkM;4,13
50 mkM;4,14
50 mkM;4,14
Control;4,95
Control;4,96
Control;4,97
Control;4,98
Control;4,99
Control;5,00
Control;5,01
Control;5,02
Control;5,03
Control;5,04
Control;5,05
Gln 1 mM;6,07
Gln 1 mM;6,13
Gln 1 mM;7,02
Gln 1 mM;6,11
Gln 1 mM;5,62
Gln 1 mM;5,97
Gln 1 mM;4,99
Gln 1 mM;4,88
Gln 1 mM;4,94
Gln 1 mM;4,76
Gln 1 mM;4,76
Gln 1 mM;4,77
Gln 5 mM;6,74
Gln 5 mM;6,77
Gln 5 mM;6,78
Gln 5 mM;4,53
Gln 5 mM;5,03
Gln 5 mM;4,98
Gln 5 mM;5,96
Gln 5 mM;5,81
Gln 5 mM;5,80
Gln 5 mM;4,91
Gln 5 mM;4,89
Gln 5 mM;4,89
Gln 5 mM;4,95
Gln 5 mM;5,02
Gln 5 mM;4,97
His 0,5 mM;4,95
His 0,5 mM;4,86
His 0,5 mM;4,83
His 0,5 mM;5,34
His 0,5 mM;5,30
His 0,5 mM;5,27
His 1 mM;4,84
His 1 mM;4,81
His 1 mM;4,84
His 1 mM;4,89
His 1 mM;4,87
His 1 mM;4,92
His 1 mM;5,23
His 1 mM;5,17
His 1 mM;5,14
Pretrit Gln 1 mM;4,93
Pretrit Gln 1 mM;4,81
Pretrit Gln 1 mM;4,89
Pretrit Gln 5 mM;4,74
Pretrit Gln 5 mM;4,73
Pretrit Gln 5 mM;4,79
Pretrit His 1 mM;4,68
Pretrit His 1 mM;4,74
Pretrit His 1 mM;4,74
Pretrit His 5 mM;4,80
Pretrit His 5 mM;4,76
Pretrit His 5 mM;4,73
Tr 10 mkM;7,87
Tr 10 mkM;8,96
Tr 10 mkM;9,35
Tr 10 mkM;4,62
Tr 10 mkM;4,60
Tr 10 mkM;4,60
Tr 10 mkM;6,46
Tr 10 mkM;6,48
Tr 10 mkM;6,40
Tr Gln 5 mM;6,31
Tr Gln 5 mM;6,20
Tr Gln 5 mM;6,99
Tr Gln 5 mM;5,84
Tr Gln 5 mM;6,01
Tr Gln 5 mM;6,00
Tr Gln 5 mM;6,34
Tr Gln 5 mM;6,17
Tr Gln 5 mM;6,49
Tr His 1 mM;5,41
Tr His 1 mM;5,33
Tr His 1 mM;5,21
Tr His 1 mM;4,91
Tr His 1 mM;4,88
Tr His 1 mM;4,91
Tr His 1 mM;4,70
Tr His 1 mM;5,02
Tr His 1 mM;4,69
