Variant;pH_after_intact_plants
10 mkM;6,51
10 mkM;6,39
10 mkM;6,31
10 mkM;6,25
10 mkM;6,33
10 mkM;6,33
10 mkM;7,03
10 mkM;6,87
10 mkM;7,06
10 mkM;6,45
10 mkM;6,72
10 mkM;6,59
10 mkM;4,50
10 mkM;4,40
10 mkM;4,42
10 mkM;6,46
10 mkM;6,48
10 mkM;6,40
Control;4,95
Control;4,96
Control;4,97
Control;4,98
Control;4,99
Control;5,00
Control;5,01
Control;5,02
Control;5,03
Control;5,04
Control;5,05
Gln 1 mM;6,09
Gln 1 mM;5,86
Gln 1 mM;5,96
Gln 1 mM;6,63
Gln 1 mM;6,63
Gln 1 mM;6,57
Gln 5 mM;6,01
Gln 5 mM;6,03
Gln 5 mM;6,15
Gln 5 mM;6,40
Gln 5 mM;6,49
Gln 5 mM;6,26
Gln 5 mM;5,84
Gln 5 mM;5,72
Gln 5 mM;5,97
Gln 5 mM;6,34
Gln 5 mM;6,17
Gln 5 mM;6,49
His 0,5 mM;4,25
His 0,5 mM;4,19
His 0,5 mM;4,18
His 1 mM;4,48
His 1 mM;4,62
His 1 mM;4,54
His 1 mM;4,56
His 1 mM;4,58
His 1 mM;4,50
His 1 mM;4,70
His 1 mM;5,02
His 1 mM;4,69
Pretrit Gln 1 mM;7,07
Pretrit Gln 1 mM;6,76
Pretrit Gln 1 mM;6,96
Pretrit Gln 5 mM;7,31
Pretrit Gln 5 mM;7,05
Pretrit Gln 5 mM;7,07
Pretrit His 0,5 mM;4,36
Pretrit His 0,5 mM;4,33
Pretrit His 0,5 mM;4,37
Pretrit His 1 mM;4,40
Pretrit His 1 mM;4,41
Pretrit His 1 mM;4,40
