Variant;Copper_content_per_FW_shoot;Copper_content_per_DW_shoot;treatment
10 mkM;0,0431211950694052;0,422108003704166;10 mkM
10 mkM;0,0627602215600325;0,599889182886484;10 mkM
10 mkM;0,0610761035750394;0,593502110998222;10 mkM
10 mkM;0,0268698189216198;0,249672424500890;10 mkM
10 mkM;0,0362408671758519;0,333988569753564;10 mkM
10 mkM;0,0500671348444042;0,478338400396655;10 mkM
10 mkM;0,0352562206526910;0,339446517710142;10 mkM
10 mkM;0,0521007385791892;0,521816403471693;10 mkM
10 mkM;0,0824544227624362;0,805988100467844;10 mkM
10 mkM;0,0353145487658567;0,348784237373822;10 mkM
10 mkM;0,0320346572730192;0,319252068886596;10 mkM
10 mkM;0,0329177163273304;0,339395937815001;10 mkM
10 mkM;0,0375836693894571;0,385179042727983;10 mkM
10 mkM;0,0459734413186506;0,450369013846193;10 mkM
10 mkM;0,0497045709596756;0,501826102864025;10 mkM
100 mkM;0,1063707822879741;1,049311777156556;100 mkM
100 mkM;0,0850785614541073;0,860102910798881;100 mkM
100 mkM;0,0906292821419961;0,886323657558165;100 mkM
100 mkM;0,0872276522790819;0,870180823723783;100 mkM
100 mkM;0,0953676902796289;0,961665819259504;100 mkM
100 mkM;0,0782179906438536;0,762822719162893;100 mkM
100 mkM;0,0857819141569277;0,773513615167036;100 mkM
100 mkM;0,0815083734165682;0,745840198203924;100 mkM
100 mkM;0,0793599563984963;0,749347995138096;100 mkM
50 mkM;0,0641717131571796;0,644613085806582;50 mkM
50 mkM;0,0534688166765477;0,528004564680909;50 mkM
50 mkM;0,1029263979495408;1,021661461465044;50 mkM
Control;0,0251680907616209;0,248040523059618;Control
Control;0,0252291081898489;0,240741527042726;Control
Control;0,1044476047858684;1,008912209990776;Control
Control;0,0331251370441644;0,326171175535783;Control
Control;0,0198697931209701;0,192751128288842;Control
Control;0,0258056727158573;0,253975830077926;Control
Control;0,0321133268246017;0,324126883458479;Control
Control;0,0254880280954401;0,254338462819511;Control
Control;0,0254832889799437;0,253863600612230;Control
Control;0,0502712942702080;0,513072681019323;Control
Control;0,0217316160902150;0,213348928755863;Control
Control;0,0348589434647428;0,358294131680284;Control
Control;0,0339003451015084;0,325988967522064;Control
Control;0,0381869817327875;0,367209676201834;Control
Control;0,0298253381985520;0,286803310592544;Control
Control;0,0282543368466165;0,271709522203638;Control
Gln 1 mM;0,0416682912095713;0,396921481952477;Gln 1 mM
Gln 1 mM;0,0328119401526985;0,322564021734340;Gln 1 mM
Gln 1 mM;0,0337750979108715;0,329541075193216;Gln 1 mM
Gln 1 mM;0,0394532779051667;0,374318953236761;Gln 1 mM
Gln 1 mM;0,0371822267258183;0,351987233246959;Gln 1 mM
Gln 1 mM;0,0352086394004829;0,327322050376992;Gln 1 mM
Gln 1 mM 100 mkM;0,0549498097676595;0,528677815176088;Gln 1 mM 100 mkM
Gln 1 mM 100 mkM;0,0484300305058446;0,465950343140410;Gln 1 mM 100 mkM
Gln 1 mM 100 mkM;0,0436384099362214;0,419849665001355;Gln 1 mM 100 mkM
Gln 1 mM 100 mkM;0,0663688471895174;0,603856638382326;Gln 1 mM 100 mkM
Gln 1 mM 100 mkM;0,0573810032637849;0,530150573632795;Gln 1 mM 100 mkM
Gln 1 mM 100 mkM;0,0667236357771042;0,638066684223001;Gln 1 mM 100 mkM
Gln 5 mM;0,0231511360817166;0,217913528093504;Gln 5 mM
Gln 5 mM;0,0261967365406435;0,255069051969951;Gln 5 mM
Gln 5 mM;0,0258246040130891;0,243382006736509;Gln 5 mM
Gln 5 mM;0,0322209525527308;0,311112421692586;Gln 5 mM
Gln 5 mM;0,0399596850002209;0,389472070002153;Gln 5 mM
Gln 5 mM 100 mkM;0,0467039241919026;0,448178781623135;Gln 5 mM 100 mkM
Gln 5 mM 100 mkM;0,0518016474659136;0,497097399181063;Gln 5 mM 100 mkM
Gln 5 mM 100 mkM;0,0578296849160407;0,554943469435798;Gln 5 mM 100 mkM
Gln 5 mM 100 mkM;0,0514684080758094;0,479673855667156;Gln 5 mM 100 mkM
Gln 5 mM 100 mkM;0,0439063428345925;0,412561819721663;Gln 5 mM 100 mkM
Gln 5 mM 100 mkM;0,0419011489311987;0,375583117426336;Gln 5 mM 100 mkM
His 0.5  mM;0,0358268976004777;0,352650465016315;His 0.5  mM
His 0.5  mM;0,0291025682731276;0,279196750858301;His 0.5  mM
His 0.5  mM;0,0444892660628992;0,436288951324266;His 0.5  mM
His 0.5 mM 100 mkM;0,0799118318930082;0,787841817300709;His 0.5 mM 100 mkM
His 0.5 mM 100 mkM;0,0700775120643438;0,692397236262147;His 0.5 mM 100 mkM
His 0.5 mM 100 mkM;0,1089014412358501;1,084500788192734;His 0.5 mM 100 mkM
His 1  mM;0,0307670545921114;0,302283364331614;His 1  mM
His 1  mM;0,0283880436538206;0,277125762186851;His 1  mM
His 1  mM;0,0346312387515890;0,321251406617214;His 1  mM
His 1 mM 100 mkM;0,0640547507674527;0,635359272409874;His 1 mM 100 mkM
His 1 mM 100 mkM;0,0565983686062879;0,561952463227674;His 1 mM 100 mkM
His 1 mM 100 mkM;0,0842869851909224;0,820522710440841;His 1 mM 100 mkM
