Variant;mkM_Cu_per_FW;mkM_Cu_per_DW;Method.1
10 mkM;0,889058574262187;14,61313340380759;10 mkM IP
10 mkM;0,956543431986628;15,68043258078218;10 mkM IP
10 mkM;0,830231392467973;13,79973831863832;10 mkM IP
10 mkM;0,964188419600816;17,05542182227222;10 mkM IP
10 mkM;0,902009173635690;15,02690522097871;10 mkM IP
10 mkM;0,901888833392095;14,92013625611614;10 mkM IP
10 mkM;0,941897654046536;17,03842276266161;10 mkM IP
10 mkM;0,862674388264609;15,60531642756027;10 mkM IP
10 mkM;0,877452518811535;15,87264487329807;10 mkM IP
10 mkM;1,035886631285102;15,57872431342424;10 mkM IP
10 mkM;0,953811850090900;14,37437813171081;10 mkM IP
10 mkM;1,185222443323407;18,34792556505976;10 mkM IP
10 mkM;1,244941053996253;20,24743864445992;10 mkM IP
10 mkM;1,153477202958918;19,11142836117448;10 mkM IP
10 mkM;1,142013943781065;19,68251968503937;10 mkM IP
10 mkM;0,895417906191742;15,90847547339095;10 mkM IP
10 mkM;0,913839924446977;16,23577094465330;10 mkM IP
10 mkM;0,931610363220726;16,55149010486747;10 mkM IP
Gln 1 mM;0,630967953876399;10,58000495328540;Gln 1 mM IP
Gln 1 mM;0,761264612274974;12,66317618737148;Gln 1 mM IP
Gln 1 mM;0,665256858782483;11,35595749297125;Gln 1 mM IP
Gln 1 mM;0,587470850367410;8,71027325173462;Gln 1 mM IP
Gln 1 mM;0,581131582845590;9,00792643928830;Gln 1 mM IP
Gln 1 mM;0,613765605759059;9,27846894138233;Gln 1 mM IP
Gln 5 mM;0,343360347500422;5,66378965491050;Gln 5 mM IP
Gln 5 mM;0,266755435245446;4,62449487446145;Gln 5 mM IP
Gln 5 mM;0,282285617289480;4,85561779101937;Gln 5 mM IP
Gln 5 mM;0,235679842278521;4,26332178674313;Gln 5 mM IP
Gln 5 mM;0,174917192799951;3,16415808721858;Gln 5 mM IP
Gln 5 mM;0,233450940292438;4,22300214673527;Gln 5 mM IP
Gln 5 mM;0,328605643547738;5,12028052944995;Gln 5 mM IP
Gln 5 mM;0,364417706075008;5,69107161788375;Gln 5 mM IP
Gln 5 mM;0,335428134385484;5,20457428230031;Gln 5 mM IP
Gln 5 mM;0,559393816384996;9,93849100670279;Gln 5 mM IP
Gln 5 mM;0,546489690882388;9,70922938188574;Gln 5 mM IP
Gln 5 mM;0,654067659446541;11,62051735429043;Gln 5 mM IP
His 0.5 mM;1,063447283777857;18,47555880111760;His 0.5 mM IP
His 0.5 mM;0,750389000098353;13,39382857880470;His 0.5 mM IP
His 0.5 mM;0,869934134884336;15,28660923344432;His 0.5 mM IP
His 1 mM;0,718077534307019;12,36125032546530;His 1 mM IP
His 1 mM;0,748328275399676;12,71122319701387;His 1 mM IP
His 1 mM;0,733972972783217;12,29894305834503;His 1 mM IP
His 1 mM;0,879898079067854;15,91688374506901;His 1 mM IP
His 1 mM;0,621158487112010;11,23642346974869;His 1 mM IP
His 1 mM;0,799357126441654;14,45994116255263;His 1 mM IP
His 1 mM;0,876083471205390;15,56496951640110;His 1 mM IP
His 1 mM;0,861248050906127;15,30139547087856;His 1 mM IP
His 1 mM;0,850483392460126;15,11014476695199;His 1 mM IP
